taxon;taxonid;taxon_group;tax_orig;tax_origid;tax_orig_taal;tax_canon
Absconditella trivialis (Willey ex Tuck.) Vězda;TX2009083117591034;LI;leemkroesje;TI2025042200004211;nl;Absconditella trivialis
Abutilon;INBSYS0000015903;VP;abutilon (g);TX2009083118470593;nl;Abutilon
Abutilon theophrasti Med.;INBSYS0000010621;VP;fluweelblad;TX2009083118470609;nl;Abutilon theophrasti
Abutilon theophrasti Med.;INBSYS0000010621;VP;Abutilon avicennae Gaertn.;TX2009083118184578;Sci;Abutilon theophrasti
Abutilon x suntense Brickell;TI2025042200002453;VP;Abutilon x suntense Brickell;TI2025042200002453;Sci;Abutilon x suntense
Acaena;TI2025042200002454;VP;stekelnootje (g);TI2025042200004497;nl;Acaena
Acaena microphylla Hook.f.;TI2025042200002455;VP;bronskleurig stekelnootje;TI2025042200003657;nl;Acaena microphylla
Acanthospermum hispidum DC.;TX2009083116292006;VP;Acanthospermum hispidum DC.;TX2009083116292006;Sci;Acanthospermum hispidum
Acarospora;TX2009083117591665;LI;steenschubje;TI2025042200004490;nl;Acarospora
Acarospora anomala H. Magn.;TX2009083117591134;LI;zinksteenschubje;TI2025042200004675;nl;Acarospora anomala
Acarospora fuscata (Schrad.) Th. Fr.;INBSYS0000058171;LI;bruin steenschubje;TI2025042200003670;nl;Acarospora fuscata
Acarospora heppii (Naeg. ex Hepp) Naeg. ex Körb.;TX2009083117591350;LI;klein steenschubje;TI2025042200004125;nl;Acarospora heppii
Acarospora moenium (Vain.) Räsänen;INBSYS0000056061;LI;Acarospora moenium (Vain.) Räsänen;INBSYS0000056061;Sci;Acarospora moenium
Acarospora nitrophila H. Magn.;INBSYS0000057632;LI;donker steenschubje;TI2025042200003723;nl;Acarospora nitrophila
Acarospora smaragdula (Wahlenb.) A. Massal.;TX2009083117591550;LI;Acarospora smaragdula (Wahlenb.) A. Massal.;TX2009083117591550;Sci;Acarospora smaragdula
Acarospora veronensis A. Massal.;INBSYS0000058214;LI;metaalsteenschubje;TI2025042200004251;nl;Acarospora veronensis
Acarospora versicolor Bagl. & Carestia;TX2009083117591865;LI;berijpt steenschubje;TI2025042200003577;nl;Acarospora versicolor
Acaulon;INBSYS0000001822;BR;knopmos (g);TX2009083120191628;nl;Acaulon
Acaulon muticum (Hedw.) Müll.Hal.;INBSYS0000001309;BR;bol knopmos;TX2009083120191512;nl;Acaulon muticum
Acaulon triquetrum (Spruce) Müll.Hal.;INBSYS0000001527;BR;driekantig knopmos;TX2009083120191728;nl;Acaulon triquetrum
Acer;INBSYS0000014099;VP;esdoorn (g);TX2009083118471303;nl;Acer
Acer campestre L.;INBSYS0000014102;VP;spaanse aak;TX2009083118470725;nl;Acer campestre
Acer cappadocicum Gled.;INBSYS0000014993;VP;Acer laetum C.A. Mey.;INBSYS0000010618;Sci;Acer cappadocicum
Acer japonicum Thunb.;TI2025042200002456;VP;Acer japonicum Thunb.;TI2025042200002456;Sci;Acer japonicum
Acer monspessulanum L.;INBSYS0000015231;VP;montpellieresdoorn;TX2009083118470825;nl;Acer monspessulanum
Acer negundo L.;INBSYS0000015016;VP;vederesdoorn;TX2009083118470940;nl;Acer negundo
Acer negundo L.;INBSYS0000015016;VP;Negundo fraxinifolium Nutt.;INBSYS0000010617;Sci;Acer negundo
Acer palmatum Thunb.;INBSYS0000022615;VP;japanse esdoorn;TI2025042200004068;nl;Acer palmatum
Acer platanoides L.;INBSYS0000014101;VP;noorse esdoorn;TX2009083118471056;nl;Acer platanoides
Acer pseudoplatanus f. atropurpureum Schwer.;TI2025042200002457;VP;Acer pseudoplatanus f. atropurpureum Schwer.;TI2025042200002457;Sci;Acer pseudoplatanus f. atropurpureum
Acer pseudoplatanus L.;INBSYS0000014100;VP;gewone esdoorn;TX2009083118471171;nl;Acer pseudoplatanus
Acer rubrum L.;INBSYS0000022616;VP;rode esdoorn;TI2025042200004386;nl;Acer rubrum
Acer rufinerve Siebold et Zucc.;TI2025042200002458;VP;grijze streepjesbastesdoorn;TI2025042200003952;nl;Acer rufinerve
Acer saccharinum L.;INBSYS0000014885;VP;zilveresdoorn;TX2009083118471287;nl;Acer saccharinum
Acer tataricum L.;TI2025042200002459;VP;Acer tataricum L.;TI2025042200002459;Sci;Acer tataricum
Acer tataricum L. subsp. ginnala (Maxim.) Wesm.;TI2025042200002460;VP;Acer tataricum L. subsp. ginnala (Maxim.) Wesm.;TI2025042200002460;Sci;Acer tataricum subsp. ginnala
Aceras;INBSYS0000015904;VP;poppenorchis (g);TX2009083118471518;nl;Aceras
Achillea;INBSYS0000015905;VP;duizendblad (g);TX2009083118471865;nl;Achillea
Achillea collina Becker ex Rchb.;INBSYS0000010614;VP;Achillea collina Becker ex Rchb.;INBSYS0000010614;Sci;Achillea collina
Achillea filipendulina Lam.;INBSYS0000015171;VP;Achillea filipendulina Lam.;INBSYS0000015171;Sci;Achillea filipendulina
Achillea millefolium L.;INBSYS0000014747;VP;duizendblad;TX2009083118471634;nl;Achillea millefolium
Achillea nobilis L.;INBSYS0000014749;VP;edel duizendblad;TX2013080712043633;nl;Achillea nobilis
Achillea ptarmica L.;INBSYS0000014748;VP;wilde bertram;TX2009083118471750;nl;Achillea ptarmica
Achillea tanacetifolia All.;TX2009083116293768;VP;Achillea tanacetifolia All.;TX2009083116293768;Sci;Achillea tanacetifolia
Achillea virescens (Fenzl) Heimerl;TI2025042200002461;VP;Achillea virescens (Fenzl) Heimerl;TI2025042200002461;Sci;Achillea virescens
Achnatherum;INBSYS0000010612;VP;Achnatherum;INBSYS0000010612;Sci;Achnatherum
Achnatherum calamagrostis (L.) Beauv.;INBSYS0000010613;VP;Achnatherum calamagrostis (L.) Beauv.;INBSYS0000010613;Sci;Achnatherum calamagrostis
Aconitum;INBSYS0000015906;VP;monnikskap (g);TX2009083118472012;nl;Aconitum
Aconitum lycoctonum L.;INBSYS0000017258;VP;gele monnikskap;TX2009083118472128;nl;Aconitum lycoctonum
Aconitum lycoctonum L.;INBSYS0000017258;VP;Aconitum vulparia Reichenb.;INBSYS0000010610;Sci;Aconitum lycoctonum
Aconitum napellus L.;INBSYS0000016784;VP;blauwe monnikskap;TX2009083118471996;nl;Aconitum napellus
Aconitum napellus L. subsp. lusitanicum Rouy;TX2009083116294184;VP;Aconitum napellus L. subsp. lusitanicum Rouy;TX2009083116294184;Sci;Aconitum napellus subsp. lusitanicum
Acorus;INBSYS0000015907;VP;kalmoes (g);TX2009083118472359;nl;Acorus
Acorus calamus L.;INBSYS0000013650;VP;kalmoes;TX2009083118472243;nl;Acorus calamus
Acrocordia;TX2009083117592481;LI;wrat;TI2025042200004650;nl;Acrocordia
Acrocordia cavata (Ach.) R.C. Harris;TX2009083117591965;LI;Acrocordia cavata (Ach.) R.C. Harris;TX2009083117591965;Sci;Acrocordia cavata
Acrocordia conoidea (Fr.) Körb.;INBSYS0000058219;LI;kleine kalksteenwrat;TI2025042200004135;nl;Acrocordia conoidea
Acrocordia gemmata (Ach.) A. Massal.;INBSYS0000058220;LI;iepenwrat;TI2025042200004057;nl;Acrocordia gemmata
Acrocordia macrospora A. Massal.;TX2009083117592265;LI;granietwrat;TI2025042200003937;nl;Acrocordia macrospora
Acrocordia salweyi (Leighton ex Nyl.) A.L. Sam.;TX2009083117592381;LI;grote kalksteenwrat;TI2025042200003987;nl;Acrocordia salweyi
Actaea;INBSYS0000015908;VP;christoffelkruid (g);TX2009083118472475;nl;Actaea
Actaea spicata L.;INBSYS0000013810;VP;christoffelkruid;TX2009083118472590;nl;Actaea spicata
Actinidia;INBSYS0000010608;VP;kiwi (g);TX2009083118472706;nl;Actinidia
Actinidia deliciosa C.S. Liang & A.R. Ferguson;INBSYS0000010609;VP;kiwi;TX2009083118472690;nl;Actinidia deliciosa
Adiantum;INBSYS0000015909;VP;venushaar (g);TX2009083118472821;nl;Adiantum
Adiantum capillus-veneris L.;INBSYS0000013523;VP;Adiantum capillus-veneris L.;INBSYS0000013523;Sci;Adiantum capillus-veneris
Adiantum raddianum C. Presl;INBSYS0000010607;VP;fijn venushaar;TI2025042200003797;nl;Adiantum raddianum
Adonis;INBSYS0000015910;VP;adonis (g);TX2009083118473268;nl;Adonis
Adonis aestivalis L.;INBSYS0000016517;VP;zomeradonis;TX2009083118472937;nl;Adonis aestivalis
Adonis annua L.;INBSYS0000013838;VP;herfstadonis;TX2009083118473053;nl;Adonis annua
Adonis annua L.;INBSYS0000013838;VP;Adonis autumnalis L.;INBSYS0000015915;Sci;Adonis annua
Adonis flammea Jacq.;INBSYS0000016518;VP;kooltje-vuur;TX2009083118473153;nl;Adonis flammea
Adoxa;INBSYS0000015911;VP;muskuskruid (g);TX2009083118473484;nl;Adoxa
Adoxa moschatellina L.;INBSYS0000014673;VP;muskuskruid;TX2009083118473368;nl;Adoxa moschatellina
Aegilops;INBSYS0000017239;VP;Aegilops;INBSYS0000017239;Sci;Aegilops
Aegilops cylindrica Host;INBSYS0000016519;VP;Aegilops cylindrica Host;INBSYS0000016519;Sci;Aegilops cylindrica
Aegilops geniculata Roth;INBSYS0000016520;VP;Aegilops geniculata Roth;INBSYS0000016520;Sci;Aegilops geniculata
Aegilops squarrosus;INBSYS0000010606;VP;Aegilops squarrosus;INBSYS0000010606;Sci;Aegilops squarrosus
Aegilops triuncialis L.;INBSYS0000016521;VP;Aegilops triuncialis L.;INBSYS0000016521;Sci;Aegilops triuncialis
Aegilops ventricosa Tausch;INBSYS0000016522;VP;Aegilops ventricosa Tausch;INBSYS0000016522;Sci;Aegilops ventricosa
Aegopodium;INBSYS0000015912;VP;zevenblad (g);TX2009083118473600;nl;Aegopodium
Aegopodium podagraria L.;INBSYS0000014337;VP;zevenblad;TX2009083118473584;nl;Aegopodium podagraria
Aesculus;INBSYS0000015273;VP;paardenkastanje (g);TI2025042200004329;nl;Aesculus
Aesculus carnea Hayne;INBSYS0000015174;VP;rode paardenkastanje;TI2025042200004390;nl;Aesculus carnea
Aesculus carnea Hayne;INBSYS0000015174;VP;Aesculus rubicunda Loisel.;INBSYS0000010605;Sci;Aesculus carnea
Aesculus flava Sol.;TI2025042200002462;VP;Aesculus flava Sol.;TI2025042200002462;Sci;Aesculus flava
Aesculus hippocastanum L.;INBSYS0000014825;VP;witte paardenkastanje;TX2009083118473815;nl;Aesculus hippocastanum
Aesculus parviflora Walter;INBSYS0000022617;VP;kleinbloemige kastanje;TI2025042200004129;nl;Aesculus parviflora
Aethusa;INBSYS0000015274;VP;hondspeterselie (g);TX2009083118474462;nl;Aethusa
Aethusa cynapium L.;INBSYS0000014345;VP;hondspeterselie;TX2009083118474362;nl;Aethusa cynapium
Aethusa cynapium L. var. agrestis Wallr.;TX2009083116301293;VP;hondspeterselie var. agrestis;TX2009083118474031;nl;Aethusa cynapium var. agrestis
Aethusa cynapium L. var. agrestis Wallr.;TX2009083116301293;VP;Aethusa cynapium L. subsp. agrestis (Wallr.) Dostál;TX2009083118185209;Sci;Aethusa cynapium var. agrestis
Aethusa cynapium L. var. agrestis Wallr.;TX2009083116301293;VP;Aethusa cynapium L. subsp. segetalis (Boenningh.) Schübl. et Martens;TX2009083118185309;Sci;Aethusa cynapium var. agrestis
Aethusa cynapium L. var. cynapium;TX2009083116301393;VP;hondspeterselie var. cynapium;TX2009083118474146;nl;Aethusa cynapium var. cynapium
Aethusa cynapium L. var. gigantea Lej.;TX2009083116301493;VP;hondspeterselie var. gigantea;TX2009083118474246;nl;Aethusa cynapium var. gigantea
Aethusa cynapium L. var. gigantea Lej.;TX2009083116301493;VP;Aethusa cynapium L. subsp. elata (Friedl. ex Hoffmann) Schübl. et Martens;TX2009083118185409;Sci;Aethusa cynapium var. gigantea
Aethusa cynapium L. var. gigantea Lej.;TX2009083116301493;VP;Aethusa cynapium L. subsp. cynapioides auct. an (Bieb.) Nyman?;TX2009083118185525;Sci;Aethusa cynapium var. gigantea
Agastache;TI2025042200002463;VP;Agastache;TI2025042200002463;Sci;Agastache
Agastache rugosa (Fisch. & C.A.Mey.) Kuntze;TI2025042200002464;VP;anijsplant;TI2025042200003554;nl;Agastache rugosa
Ageratum;INBSYS0000015275;VP;Ageratum;INBSYS0000015275;Sci;Ageratum
Ageratum houstonianum Mill.;INBSYS0000016786;VP;Ageratum houstonianum Mill.;INBSYS0000016786;Sci;Ageratum houstonianum
Agonimia;TX2009083117592881;LI;haarschubje;TI2025042200004003;nl;Agonimia
Agonimia allobata (Stizenb.) P. James;INBSYS0000058012;LI;schorshaarschubje;TI2025042200004437;nl;Agonimia allobata
Agonimia gelatinosa (Ach.) A.M. Brand & Diederich;TX2009083117592681;LI;leemhaarschubje;TI2025042200004210;nl;Agonimia gelatinosa
Agonimia globulifera A.M. Brand & Diederich;TX2009083117592781;LI;kalkhaarschubje;TI2025042200004080;nl;Agonimia globulifera
Agonimia tristicula (Nyl.) Zahlbr.;INBSYS0000058006;LI;gewoon haarschubje;TI2025042200003899;nl;Agonimia tristicula
Agonimia vouauxii (de Lesd.) A.M. Brand & Diederich;TX2009083117593081;LI;duinhaarschubje;TI2025042200003751;nl;Agonimia vouauxii
Agrimonia;INBSYS0000015276;VP;agrimonie (g);TX2009083118474793;nl;Agrimonia
Agrimonia eupatoria L.;INBSYS0000014206;VP;gewone agrimonie;TX2009083118474578;nl;Agrimonia eupatoria
Agrimonia procera Wallr.;INBSYS0000014207;VP;welriekende agrimonie;TX2009083118474678;nl;Agrimonia procera
Agrimonia procera Wallr.;INBSYS0000014207;VP;Agrimonia repens auct. non L.;INBSYS0000010597;Sci;Agrimonia procera
Agrimonia procera Wallr.;INBSYS0000014207;VP;Agrimonia odorata auct. non Mill.;INBSYS0000010598;Sci;Agrimonia procera
Agropyron;TI2025042200002465;VP;Agropyron;TI2025042200002465;Sci;Agropyron
Agropyron cristatum (L.) Gaertn.;TI2025042200002466;VP;kamdragende tarwe;TI2025042200004089;nl;Agropyron cristatum
Agropyron cristatum (L.) Gaertn. subsp. pectinatum (Bieb.) Tzvelev;TX2009083116302225;VP;Agropyron pectiniforme Roem. et Schult.;TX2009083118185825;Sci;Agropyron cristatum subsp. pectinatum
Agrostemma;INBSYS0000015277;VP;bolderik (g);TX2009083118475887;nl;Agrostemma
Agrostemma githago L.;INBSYS0000013994;VP;bolderik;TX2009083118475787;nl;Agrostemma githago
Agrostemma gracile Boiss.;INBSYS0000010582;VP;Agrostemma gracile Boiss.;INBSYS0000010582;Sci;Agrostemma gracile
Agrostis;INBSYS0000015212;VP;struisgras (g);TX2009083118475340;nl;Agrostis
Agrostis ×fouilladeana Lambinon & Verloove;TI2025042200002467;VP;Agrostis ×fouilladeana Lambinon & Verloove;TI2025042200002467;Sci;Agrostis x fouilladeana
Agrostis avenacea J.F. Gmel.;INBSYS0000016787;VP;Agrostis avenacea J.F. Gmel.;INBSYS0000016787;Sci;Agrostis avenacea
Agrostis canina L.;INBSYS0000013777;VP;moerasstruisgras;TX2009083118474893;nl;Agrostis canina
Agrostis capillaris L.;INBSYS0000013778;VP;gewoon struisgras;TX2009083118474909;nl;Agrostis capillaris
Agrostis capillaris L.;INBSYS0000013778;VP;Agrostis vulgaris With.;INBSYS0000010593;Sci;Agrostis capillaris
Agrostis capillaris L.;INBSYS0000013778;VP;Agrostis pumila L.;INBSYS0000010594;Sci;Agrostis capillaris
Agrostis capillaris L.;INBSYS0000013778;VP;Agrostis tenuis Sibth.;INBSYS0000015919;Sci;Agrostis capillaris
Agrostis castellana Boiss. & Reuter;INBSYS0000015168;VP;tweetoppig struisgras;TX2009083118475009;nl;Agrostis castellana
Agrostis gigantea Roth;INBSYS0000013779;VP;hoog struisgras;TX2009083118475125;nl;Agrostis gigantea
Agrostis gigantea Roth;INBSYS0000013779;VP;Agrostis stolonifera L. subsp. gigantea Gaudin ex Schübl. et Martens;TX2009083118190356;Sci;Agrostis gigantea
Agrostis gigantea Roth;INBSYS0000013779;VP;Agrostis nigra With.;INBSYS0000016789;Sci;Agrostis gigantea
Agrostis lachnantha Nees;INBSYS0000017259;VP;Agrostis lachnantha Nees;INBSYS0000017259;Sci;Agrostis lachnantha
Agrostis nebulosa Boiss. et Reut.;INBSYS0000010591;VP;Agrostis nebulosa Boiss. et Reut.;INBSYS0000010591;Sci;Agrostis nebulosa
Agrostis scabra Willd.;INBSYS0000013781;VP;Agrostis scabra Willd.;INBSYS0000013781;Sci;Agrostis scabra
Agrostis setacea Curtis;TI2025042200002468;VP;Agrostis setacea Curtis;TI2025042200002468;Sci;Agrostis setacea
Agrostis stolonifera L.;INBSYS0000013780;VP;fioringras;TX2009083118475556;nl;Agrostis stolonifera
Agrostis stolonifera L. var. marina (S.F. Gray) Kerguélen;TX2009083116303256;VP;fioringras var. marina;TX2009083118475225;nl;Agrostis stolonifera var. marina
Agrostis stolonifera L. var. marina (S.F. Gray) Kerguélen;TX2009083116303256;VP;Agrostis stolonifera L. var. salina (Jansen et Wachter) Jansen et Wachter p.p.;TX2009083118190456;Sci;Agrostis stolonifera var. marina
Agrostis stolonifera L. var. stolonifera;TX2009083116303456;VP;fioringras var. stolonifera;TX2009083118475456;nl;Agrostis stolonifera var. stolonifera
Agrostis vinealis Schreb.;INBSYS0000016791;VP;zandstruisgras;TX2009083118475671;nl;Agrostis vinealis
Agrostis vinealis Schreb.;INBSYS0000016791;VP;Agrostis canina L. subsp. montana (Hartm.) Hartm.;TX2009083118190871;Sci;Agrostis vinealis
Agrostis vinealis Schreb.;INBSYS0000016791;VP;Agrostis canina L. var. arida Schlecht.;TX2009083118190987;Sci;Agrostis vinealis
Agrostis vinealis Schreb.;INBSYS0000016791;VP;Agrostis stricta J.F. Gmel.;INBSYS0000016790;Sci;Agrostis vinealis
Agrostis vinealis Schreb.;INBSYS0000016791;VP;Agrostis coarctata Ehrh. ex Hoffmann;INBSYS0000010584;Sci;Agrostis vinealis
Agrostis vinealis Schreb.;INBSYS0000016791;VP;Agrostis pusilla Dum.;INBSYS0000010586;Sci;Agrostis vinealis
Ailanthus;INBSYS0000015278;VP;hemelboom (g);TX2009083118480003;nl;Ailanthus
Ailanthus altissima (Mill.) Swingle;INBSYS0000016792;VP;hemelboom;TX2009083118475903;nl;Ailanthus altissima
Ailanthus altissima (Mill.) Swingle;INBSYS0000016792;VP;Ailanthus glandulosa Desf.;INBSYS0000010581;Sci;Ailanthus altissima
Aira;INBSYS0000015279;VP;dwerghaver (g);TX2009083118480550;nl;Aira
Aira caryophyllea L.;INBSYS0000013774;VP;zilverhaver;TX2009083118480118;nl;Aira caryophyllea
Aira caryophyllea L. subsp. caryophyllea;TX2009083116304471;VP;zilverhaver subsp. caryophyllea;TX2009083118480218;nl;Aira caryophyllea subsp. caryophyllea
Aira caryophyllea L. subsp. multiculmis (Dum.) Bonnier et Layens;TX2009083116304571;VP;Aira caryophyllea L. var. major Gaudin ex Ducomm.;TX2009083118191187;Sci;Aira caryophyllea subsp. multiculmis
Aira caryophyllea L. subsp. multiculmis (Dum.) Bonnier et Layens;TX2009083116304571;VP;Aira multiculmis Dum.;INBSYS0000010578;Sci;Aira caryophyllea subsp. multiculmis
Aira caryophyllea L. subsp. multiculmis (Dum.) Bonnier et Layens;TX2009083116304571;VP;akkerzilverhaver;TI2025042200003543;nl;Aira caryophyllea subsp. multiculmis
Aira praecox L.;INBSYS0000013773;VP;vroege haver;TX2009083118480434;nl;Aira praecox
Ajuga;INBSYS0000015280;VP;zenegroen (g);TX2009083118481096;nl;Ajuga
Ajuga chamaepitys (L.) Schreb.;INBSYS0000016793;VP;akkerzenegroen;TX2009083118480665;nl;Ajuga chamaepitys
Ajuga genevensis L.;INBSYS0000014625;VP;harig zenegroen;TX2009083118480765;nl;Ajuga genevensis
Ajuga pyramidalis L.;INBSYS0000014626;VP;piramidezenegroen;TX2009083118480881;nl;Ajuga pyramidalis
Ajuga reptans L.;INBSYS0000014624;VP;kruipend zenegroen;TX2009083118480981;nl;Ajuga reptans
Akebia quinata (Houtt.) Decne.;TI2025042200002469;VP;klimaugurk;TI2025042200004153;nl;Akebia quinata
Alcea;TI2025042200002470;VP;Alcea;TI2025042200002470;Sci;Alcea
Alcea rosea L.;TX2009083116314896;VP;stokroos;TX2009083118485356;nl;Alcea rosea
Alcea rosea L.;TX2009083116314896;VP;Althaea rosea (L.) Cav.;TX2009083118192634;Sci;Alcea rosea
Alcea rosea L. subsp. ficifolia (L.) Govaerts;TI2025042200002471;VP;Alcea rosea L. subsp. ficifolia (L.) Govaerts;TI2025042200002471;Sci;Alcea rosea subsp. ficifolia
Alcea rugosa Alef.;TI2025042200002472;VP;Alcea rugosa Alef.;TI2025042200002472;Sci;Alcea rugosa
Alchemilla;INBSYS0000015281;VP;vrouwenmantel (g);TX2009083118481759;nl;Alchemilla
Alchemilla acutiloba Opiz;INBSYS0000014210;VP;spitslobbige vrouwenmantel;TX2009083118481975;nl;Alchemilla acutiloba
Alchemilla acutiloba Opiz;INBSYS0000014210;VP;Alchemilla acutangula Buser;INBSYS0000010569;Sci;Alchemilla acutiloba
Alchemilla acutiloba Opiz;INBSYS0000014210;VP;Alchemilla vulgaris L.;INBSYS0000010570;Sci;Alchemilla acutiloba
Alchemilla filicaulis Buser;INBSYS0000015179;VP;fijnstengelige vrouwenmantel;TX2009083118481196;nl;Alchemilla filicaulis
Alchemilla filicaulis Buser subsp. filicaulis;TX2009083116305387;VP;Alchemilla filicaulis Buser subsp. filicaulis;TX2009083116305387;Sci;Alchemilla filicaulis subsp. filicaulis
Alchemilla filicaulis Buser subsp. vestita;TX2009083116305503;VP;Alchemilla filicaulis Buser subsp. vestita;TX2009083116305503;Sci;Alchemilla filicaulis subsp. vestita
Alchemilla filicaulis Buser subsp. vestita (Buser) Bradsh.;TX2009083116310203;VP;Alchemilla vestita (Buser) Raunk.;INBSYS0000015923;Sci;Alchemilla filicaulis subsp. vestita
Alchemilla filicaulis Buser subsp. vestita (Buser) Bradsh.;TX2009083116310203;VP;fijnstengelige vrouwenmantel subsp. vestita;TX2009083118481859;nl;Alchemilla filicaulis subsp. vestita
Alchemilla glabra Neygenf.;INBSYS0000016794;VP;kale vrouwenmantel;TX2009083118481212;nl;Alchemilla glabra
Alchemilla glabra Neygenf.;INBSYS0000016794;VP;Alchemilla vulgaris L. var. alpestris F.W. Schmidt;TX2009083118191387;Sci;Alchemilla glabra
Alchemilla glaucescens Wallr.;INBSYS0000014208;VP;blauwgroene vrouwenmantel;TX2009083118481312;nl;Alchemilla glaucescens
Alchemilla glaucescens Wallr.;INBSYS0000014208;VP;Alchemilla hybrida auct. non L.;INBSYS0000010573;Sci;Alchemilla glaucescens
Alchemilla micans Buser;INBSYS0000016452;VP;Alchemilla gracilis auct. non Opiz;INBSYS0000010572;Sci;Alchemilla micans
Alchemilla micans Buser;INBSYS0000016452;VP;slanke vrouwenmantel;TX2009083118481428;nl;Alchemilla micans
Alchemilla mollis (Buser) Rothm.;INBSYS0000014212;VP;fraaie vrouwenmantel;TX2009083118481528;nl;Alchemilla mollis
Alchemilla monticola Opiz;INBSYS0000014209;VP;bergvrouwenmantel;TX2009083118481643;nl;Alchemilla monticola
Alchemilla xanthochlora Rothm.;INBSYS0000014211;VP;geelgroene vrouwenmantel;TX2009083118482075;nl;Alchemilla xanthochlora
Alchemilla xanthochlora Rothm.;INBSYS0000014211;VP;Alchemilla pratensis auct. non Opiz;INBSYS0000010568;Sci;Alchemilla xanthochlora
Alisma;INBSYS0000015282;VP;waterweegbree (g);TX2009083118482406;nl;Alisma
Alisma gramineum Lej.;INBSYS0000013550;VP;smalle waterweegbree;TX2009083118482190;nl;Alisma gramineum
Alisma gramineum Lej.;INBSYS0000013550;VP;Alisma graminifolium Ehrh. ex Steud.;INBSYS0000010567;Sci;Alisma gramineum
Alisma lanceolatum With.;INBSYS0000013549;VP;slanke waterweegbree;TX2009083118482290;nl;Alisma lanceolatum
Alisma plantago-aquatica L.;INBSYS0000013548;VP;grote waterweegbree;TX2009083118482306;nl;Alisma plantago-aquatica
Alliaria;INBSYS0000015283;VP;look-zonder-look (g);TX2009083118482621;nl;Alliaria
